geneID	pathway
11898	alanine_aspartate_and_glutamate_metabolism
100328588	alanine_aspartate_and_glutamate_metabolism
14415	alanine_aspartate_and_glutamate_metabolism
14417	alanine_aspartate_and_glutamate_metabolism
14583	alanine_aspartate_and_glutamate_metabolism
14584	alanine_aspartate_and_glutamate_metabolism
14645	alanine_aspartate_and_glutamate_metabolism
14660	alanine_aspartate_and_glutamate_metabolism
14661	alanine_aspartate_and_glutamate_metabolism
14718	alanine_aspartate_and_glutamate_metabolism
14719	alanine_aspartate_and_glutamate_metabolism
212647	alanine_aspartate_and_glutamate_metabolism
214579	alanine_aspartate_and_glutamate_metabolism
216456	alanine_aspartate_and_glutamate_metabolism
227231	alanine_aspartate_and_glutamate_metabolism
231327	alanine_aspartate_and_glutamate_metabolism
268782	alanine_aspartate_and_glutamate_metabolism
268860	alanine_aspartate_and_glutamate_metabolism
27053	alanine_aspartate_and_glutamate_metabolism
52633	alanine_aspartate_and_glutamate_metabolism
69719	alanine_aspartate_and_glutamate_metabolism
70503	alanine_aspartate_and_glutamate_metabolism
71670	alanine_aspartate_and_glutamate_metabolism
73988	alanine_aspartate_and_glutamate_metabolism
76282	alanine_aspartate_and_glutamate_metabolism
100678	glycine_serine_and_threonine_metabolism
104174	glycine_serine_and_threonine_metabolism
107272	glycine_serine_and_threonine_metabolism
107869	glycine_serine_and_threonine_metabolism
108037	glycine_serine_and_threonine_metabolism
109731	glycine_serine_and_threonine_metabolism
110695	glycine_serine_and_threonine_metabolism
11611	glycine_serine_and_threonine_metabolism
11655	glycine_serine_and_threonine_metabolism
11656	glycine_serine_and_threonine_metabolism
11754	glycine_serine_and_threonine_metabolism
12116	glycine_serine_and_threonine_metabolism
12183	glycine_serine_and_threonine_metabolism
12411	glycine_serine_and_threonine_metabolism
13142	glycine_serine_and_threonine_metabolism
13382	glycine_serine_and_threonine_metabolism
14431	glycine_serine_and_threonine_metabolism
14711	glycine_serine_and_threonine_metabolism
17161	glycine_serine_and_threonine_metabolism
18648	glycine_serine_and_threonine_metabolism
19193	glycine_serine_and_threonine_metabolism
192166	glycine_serine_and_threonine_metabolism
20425	glycine_serine_and_threonine_metabolism
218865	glycine_serine_and_threonine_metabolism
231691	glycine_serine_and_threonine_metabolism
235582	glycine_serine_and_threonine_metabolism
236539	glycine_serine_and_threonine_metabolism
237940	glycine_serine_and_threonine_metabolism
268782	glycine_serine_and_threonine_metabolism
26912	glycine_serine_and_threonine_metabolism
27364	glycine_serine_and_threonine_metabolism
434437	glycine_serine_and_threonine_metabolism
56012	glycine_serine_and_threonine_metabolism
58865	glycine_serine_and_threonine_metabolism
67092	glycine_serine_and_threonine_metabolism
71776	glycine_serine_and_threonine_metabolism
74129	glycine_serine_and_threonine_metabolism
